restaurant_name,user_name,age_gender,usage_count,date,purpose,overall_score,plan_score,atmosphere_score,food_score,cost_performance_score,service_score,plan_menu,comment_food_drink,comment_atmosphere_service,comment_reactions
Pepper PARLOR（ペッパー パーラー）,さちさん,50代後半（女）,2名,2023/12/30,家族との食事,1.4,2,2,1,1,1,【販売終了】パフェ付きアフタヌーンティー★クリスマススイーツなどを堪能+カフェフリー+クリスマスパフェ,料理が美味しくなくて飲み物もなかなか出てこない。ドリンクのメニューも少なくて頼んでも30分以上出てこない。ペッパーくんも定員のおもてなしもない。,ペッパーくんが食事を運んで来るわけではなく私の席にはいなかったけれど、ペッパーくんがいる席では歌を歌ったりおしゃべりをしていたみたいだがつまらなかった。,Unknown
Pepper PARLOR（ペッパー パーラー）,ダルシーさん,30代前半（女）,4名,2023/11/27,家族の誕生日,1.4,3,1,1,1,1,【販売終了】アフタヌーンティー★いちごとクリスマスがテーマの全10品を堪能+カフェフリー+ソファー席確約＆メッセージサービス,飲み物が提供されるのが本当に遅いです。食べ物は全て堅いです。美味しくなかった。,店員呼び出しボタンを押しても店員来ません。店は狭いしガヤガヤしていて子連れも多く、落ち着きません。,Unknown
HAND BAKES（ハンド ベイクス）,jjママさん,40代前半（女）,2名,2024/2/7,友人・知人との食事,1.4,2,2,1,1,1,【販売終了】【カジュアル★アフタヌーンティー】8種のスイーツ＆セイボリー+カフェフリー(ＯＺの日限定),2500円のアフタヌーンティー予約をしましたが、ケーキやパンもカサついていて作り置き感があり美味しくなかったです。,週末で混んでいた事もありますが、席幅やテーブルがすごく狭くて隣のテーブルと近過ぎて会話内容が筒抜けでゆっくり話せませんでした。,予約時は3000円がオズ限定プランで2500円になりお得でたのしみにしていましたが、お店に行って、店内の雰囲気がイマイチなのとお料理も作り置きでお得感が無くガッカリしていました。
GODIVA cafe Hibiya（ゴディバ カフェ ヒビヤ）,ヒロローさん,50代後半（男）,2名,2023/12/18,いつものデート,1.4,2,2,1,1,1,【販売終了】【ゴディバカフェ クリスマスアフタヌーンティーセット】+ドリンク2杯(12/6～12/25),どれも平均的で、これと言って美味しいというものがなかった。普通のチョコは美味しかった。,アフタヌーンティーを予約したと言っても、他のお客さんの注文の対応に追われて、なかなか席に案内してもらえなかった。２杯目のドリンクを頼んでも、いつまで経っても来なくて、注文カウンターに聞きに行った。,GODIVAのアフタヌーンティーだと期待して行ったのに、期待したほとでもなく、ちょっとガッカリしてた。
SALON BAKE&TEA（サロン ベイクアンドティー）,きつねさん,30代前半（女）,1名,2023/12/25,その他(1人での予約),1.4,1,2,1,1,2,【販売終了】【クリスマス2023★アフタヌーンティーコース】苺パフェなど6品+カフェフリー+メッセージ特典(12/22～12/25),南口から出歩く時には立地がいいと思います。他に浮かばないです。,女性同士のお客様しかいらっしゃらなかったです。空席が多かったです。,Unknown
MAISON MARUNOUCHI（メゾンマルノウチ）,みらくりんさん,50代前半（女）,2名,2024/7/21,友人・知人との食事,1.4,1,1,3,1,1,【販売終了】【アロハアフタヌーンティー】+ウェルカムドリンク+ペストリーシェフ特製お土産(土日祝日),普通に美味しかったです。スコーンとジャムは特に美味しいかったです。,対応があまりにもひどくて、8800円の価値はありませんでした。席に通された後、水とメニュー表をいただきましたが、時間制であることも説明されたのに、その後約10分ぐらい何の対応もなく放置されました。料理が出された後も、お茶の追加を全く確認に来ず、こちらが席を立って店員を呼びに行く必要がありました。通された席が奥まった場所であったため、店員の目が届かなかったのかもしれません。でも、隣にいたVIPっぽい人にはひっきりなしに声掛けをしていました。さらに、会計をお願いしたあとに、お茶のお代わりはいかがですかと声をかけられました。とても、ホテル併設のレストランの対応ではありませんでした。,私と同じように、店員の対応に腹を立ててました。今後利用することはないと言ってました。
ママロンパーティー,ゲストユーザーさん,20代前半（女）,2名,2024/8/8,女子会,1.6,2,1,3,1,1,【販売終了】【マスカットアフタヌーンティー】ケーキやミニパフェなど+カフェフリー+レンタルドレス(1F指定・平日限定・～11/30),食事は普通でした。これに4500も払う価値は感じなかったので、もう二度と来ません,席の予約をピンクからゴールドに変更して欲しいと伝えて了承をいただいたのですが案内されたのはピンクであったため少しガッカリしました。彩度強め。,予約したのが私であったため、かなり無理して喜んでくれたのではないかと感じました。ただポツリと彩度強めだねとだけは言ってました。
ブラッスリーカフェ ルコンテ,ハルルさん,40代前半（女）,2名,2024/9/17,女子会,1.6,2,3,1,1,1,【アフタヌーンティー】ベーグルやスコーン、自家製スイーツなど+カフェフリー(120分制・ロフト席も選べる！),サーモンにジェノベーゼソースがかかっている、ミニベーグルはチーズがかかっている,2階席は汚れがあるがとても広く他グループとの距離もあるので気兼ねせず話すことができる,東京は人が多いからなんとなく営業を続けられるんだよねといっていました
カスケード 銀座店,なみさん,30代後半（女）,2名,2024/7/24,いつものデート,1.6,1,1,1,1,4,【販売終了】【2024OZアワード受賞記念】いちごに溺れるアフタヌーンティー+シャンパン＆3hカフェフリー(土日祝),ドリンクは紅茶などメニューが豊富で、ワインも飲み放題でした。ただ、カラオケパセラの店舗なので自分で取りに行くスタイルです。アフタヌーンティーのデザートはホテルなどのデザートと違ってかなり小さく、味のクオリティもカラオケ店の味という感じで非常に低かったです。パセラのハニトーとか好きですし雰囲気は好きですが、あくまでカラオケ店として好きで、アフタヌーンティーにしてしまうと、個人的にはなにか違う気がしました。追加500円でデザート食べ放題と言われましたが、やめておきました。優雅さを求めるなら、ここじゃないほうがいいです。コスパは全くいいとは言えません。ホテルにしたらよかった、と思いました。金額はひとり2000?2500円くらいがちょうどいいと思います。ですが、店員さんはどなたもとても感じがよく、推しプランみたいなところでは店員さんが写真をとりましょうかと声をかけていました。(私たちにはお声はかからなかったですが) 店員さんの笑顔は素敵でした。,カラオケパセラ、という感じです。地下なので、電波が届きづらかったです。,味のクオリティはちょっと低いけど、店員さんが感じよかったから良かったよと話していました。
カスケード 銀座店,ミニ子さん,50代前半（女）,3名,2023/12/16,女子会,1.6,2,2,1,1,2,【販売終了】クリスマスアフタヌーンティー+3時間カフェフリー,ドリンクは、ファミレスのドリンクバーよりはましって程度。アフタヌーンティーというよりスィーツバイギングをトレイに乗せただけの感じ。しかもパサパサのケーキで、二度と行きたく無いと思っています。,個室を利用しましたが、やたらテーブルが大きくて寛げない部屋でした。サービスはただ運ぶだけで、サービスされた感じはしませんでした。海外の方が多いせいかもですが、金額に合いません。,美味しいという反応は、全くありませんでした。全員残しました。
GODIVA cafe Hibiya（ゴディバ カフェ ヒビヤ）,きよさん,60代前半（女）,3名,2023/12/2,家族の誕生日,1.6,2,1,2,1,2,【販売終了】【ゴディバカフェ 季節のアフタヌーンティーセット】+ドリンク2杯(10/4～12/5限定),品数をもう少し減らして一つ一つの品質をあげてほしいドリンクの量が少ない,普通のファストフードのカフェでガチャガチャしていてアフタヌーンティーの雰囲気ではない,Unknown
中国料理「王朝」（オウチョウ）,カチョカバロさん,60代前半（女）,2名,2024/1/30,私の誕生日,1.6,1,2,1,1,3,【販売終了】点心食べ放題ストロベリーチャイニーズアフタヌーンティー+イチゴ１ボウル付き(平日限定・12/27～),ハーブティーのホットサービス、オードブルタワー、飲茶のワゴンサービスとオーダービュッフェ,落ち着いた雰囲気、席の間隔、テーブルの広さ。そのほかはお勧めできるポイントがないです。,Unknown
アトリウムラウンジ & ジュネヴァ ロビーバー,ゆうさん,30代後半（女）,2名,2024/2/26,結婚記念日,1.6,4,1,1,1,1,【販売終了】【ベリー・ベリー・ストロベリー・アフタヌーンティー】+ロンネフェルト含むカフェフリー(平日特別料金・2時間制),以前にこちらのホテルの他のお店でアフタヌーンティーをしました。その時は給仕の方も手慣れた様子で食器類も音を立てずに置いてくださりとてもよかったのですが、今回はカチャカチャと雑な印象で残念でした。,のんびりした時間を過ごしたかったのですが、給仕の方もバタバタ歩いているしラウンジだったためか落ちつきませんでした。,私と同じくそわそわガチャガチャした雰囲気を気にしていましたが、楽しそうでした。
青山セントグレース大聖堂,チョッピさん,20代前半（女）,2名,2024/2/12,いつものデート,1.6,1,1,2,2,2,【販売終了】ストロベリーチョコレートKissアフタヌーンティー+カフェフリー(土日祝・ティーセレクション),食事の提供が一斉に行われるため結構待たされる。支払い値段が違うのにみんな同じ内容だと思われるこれに関しては各サイトで差があると思うので仕方がない。料理もすごく美味しいというわけではない、普通だった。,1階と2階で雰囲気の差はかなりあり、1階で過ごされた方はみんな不満で店員さんに席を変えてもらえないか頼んでいた。また、忙しかったのか店員が怒り気味で楽しめなかった。,値段に差があるのに、サービス内容は全く一緒。なぜ、値段の差がそれなりにあるかはすごくわからないし謎だった。
RISTORANTE & BAR E'VOLTA（エボルタ）,marie629さん,40代前半（女）,2名,2024/10/13,いつものデート,1.6,1,1,3,2,1,【販売終了】【9～10月限定★秋の味覚とハロウィンアフタヌーンティー】+スパークリング/カフェ90分飲み放題(1日3組限定テラス確約),アルコールフリーフロープランで予約していたが、最初からお茶のメニューの案内しかなく、こちらから申し出る必要がありました。ドリンクがくるのがとにかく遅いし、「お待たせしました」の一言もありませんでした。テラス席だと、こちらから店内までドリンクオーダーしに出向くのが当然の雰囲気のなので、店内席をおすすめします。,乾杯のスパークリングが届くまで15分以上、アフタヌーンティースタンドが出てくるまで30分以上かかりました。その後の注文は一切取りに来ず、テラスからわざわざ店内にオーダーしに行く必要があり、それでもワイン一杯の提供に30分以上時間がかかります。ラストオーダーだけは時間ピッタリに店員さんが聞きにきて下さいました。オーダーしたドリンクは来ないのに、途中からディナー席の準備を初めていたり、馬鹿にされているような気がしました。,せっかく料理が美味しいのにサービスがもったいないねと言っていました。このレベルなら飲み放題プランは提供しない方が良いとも言っており、私も同意見です。
TRATTORIA LA COCORICO Ginza（トラットリア ラ ココリコ）,春巻きさん,40代後半（女）,2名,2024/3/17,家族との食事,1.8,2,2,2,1,2,【販売終了】【いちごアフタヌーンティー】パンナコッタやマカロン、ケーキ等+カフェフリー(土日祝・1日10組限定),見える場所に作り置き置かれてすぐに提供された。量は少なめでした。,隣の席と近過ぎた。ドリンクのメニューがもう少しあっても良かったです。,Unknown
汐待茶寮（シオマチサリョウ）,ひろしさん,30代後半（男）,2名,2024/8/20,いつものデート,1.8,1,3,1,1,3,【アフタヌーンティー】7種スイーツやサラダ等のハーフブッフェ+乾杯スパークリングワイン(ＯＺ･平日限定･滞在時間無制限),はっきり言って私の口には全く合わなかったです。人へはおすすめできません。,店内が広く、テーブル間のスペースも十分ですので、子連れの方にはいいと思います。,私と同じく、はっきりとは口に出しませんが、口に合わない様子でした。
ママロンパーティー,Candyさん,10代（女）,2名,2024/9/6,女子会,1.8,2,3,1,1,2,【販売終了】【マスカットアフタヌーンティー】ケーキやミニパフェなど+カフェフリー+レンタルドレス(2F指定・平日限定・～11/30),パッと見た見た目が1番良かった。紅茶が安っぽくてガッカリした。飲み放題で嬉しいと思っていたがどれも全然美味しくない。食事も美味しいと感じたのは1部だけで期待していた分とてもガッカリした。フルーツも新鮮という状態ではなく見た目の雰囲気はそれなりに好印象だったが食べたら本当に美味しくなくて行かない方がいいと感じた。,写真スポットがあってとても活用できた。可愛らしい雰囲気でとても良かった。今回行った時に2回がひと組だったので心置きなく写真を撮ることができてとても良かったら。ただ、ドレスを貸し出すと言ってる割にはドレスがボロボロ。穴が開きまくっているしチャックも壊れていたりととても着れるものではなかった。装飾に力入れすぎたのかな？と感じた。,とてもガッカリしていました。年に2.3度しか会えない友達で今回予約を取ってからずっと楽しみにしていたのに思っていたのとは違うと言っていました。料理などの味もとてもガッカリで高いお金払ったのに意味がなかったと言っていました。
ママロンパーティー,umekoさん,30代前半（女）,2名,2024/7/21,友人・知人の誕生日,1.8,2,3,1,2,1,【販売終了】【桃＆マンゴーアフタヌーンティー】ケーキやミニパフェなど+カフェフリー+レンタルドレス(1F指定・土日祝限定・～7/31迄),どれも食べれたものではなく、ほとんど全部残しました。食事の内容には期待せずに行くのが良さそうです！,部屋の雰囲気は可愛かったけれども、ほとんどセルフな感じで、メニューの説明もないし、ティーポットは1席1つなので、それぞれが飲みたいのが飲めなかった。,1回来れて良かったけれど、メニューの味がひどすぎて再訪はなし、とのことでした。
ブラッスリーカフェ ルコンテ,はるさん,40代後半（女）,2名,2024/6/6,女子会,1.8,2,2,2,2,1,【アフタヌーンティー】ベーグルやスコーン、自家製スイーツなど+お好みカフェ1人1杯(90分制・ロフト席も選べる！),口コミが良かったので期待していましたが、フルーツ少なめでフレッシュな感じはなく、スコーンは乾燥気味、女子会メニューにはそぐわない感じでした。,店内に客が1組しかいず、閑散としていました。女性店員はこちらが驚くくらいの無愛想な表情でした。テーブルにケーキスタンドとドリンクを置く際も乱暴に置かれ、とても残念でした。,同伴者も同じ意見で、メニューは地味、店員の態度は残念だと話していました。
Pepper PARLOR（ペッパー パーラー）,アニタさん,60代後半（女）,3名,2024/10/23,女子会,1.8,3,1,3,1,1,【販売終了】アフタヌーンティー★シャインマスカットがテーマの11品を堪能+ウェルカムドリンク＆カフェフリー+メッセージサービス,アフタヌーンティの食事については、普通にそこそこおいしかった,おすすめポイントはゼロ。店員のサービスがあまりにひどくて、大変残念だった。,3人共初めての利用だったので、ペッパー君の動きを楽しみながら、ゆっくり時間を過ごせた。
Pepper PARLOR（ペッパー パーラー）,レオさん,30代前半（男）,2名,2024/7/15,いつものデート,1.8,2,3,1,2,1,【販売終了】パフェ付きアフタヌーンティー★宇治抹茶と苺のスイーツを堪能+ミルク＆プレミアムカフェフリー+パフェ＆ソファー席確約,食事は見た目はいいが味がまずかったです。ドリンクは種類は多いと思います。,店内の雰囲気はとてもおしゃれな感じでしたが、ロボットの音量がうるさいのと配線が汚いのが気になりました。,抹茶好きの彼女と行きましたが、味は好みでは無かったようです。料理のクオリティをあげて欲しいです。
Pepper PARLOR（ペッパー パーラー）,樹さん,20代後半（男）,3名,2024/6/29,恋人の誕生日,1.8,1,3,3,1,1,【販売終了】アフタヌーンティー★抹茶と苺がテーマの11品を堪能+ウェルカムドリンク＆カフェフリー+メッセージサービス,食べ物とドリンクは美味しかった。おすすめのポイントはアフタヌーンティーのセットが写真通りに飾ったのです。,海外からのお客様に連れてきましたが日本人のお客様に比べて悪かったです。例えば、アフタヌーンティーのセットが来たときに人数分の皿を用意しなかったり、ペッパーくんを他のお客様に用意したのにこちらに用意されなかったりです。また、食べてないケーキがあるのに確認せずに片付けるのは信じられません。こちらもお金を払っているのに他のお客様と同じサービスをもらってないのは残念しか言わざるを得ません。,写真通りに来ましたので楽しみました。植樹する前に色々な写真を撮りましたので、少し喜びました。
PIZZA ＆ ROTISSERIE LA COCORICO Shibuya（ラココリコ）,ともさん,60代前半（女）,3名,2024/8/12,友人・知人との食事,1.8,2,2,2,2,1,【販売終了】【サマーアフタヌーンティー】桃やマンゴーなどのスイーツを堪能+乾杯クリームソーダ＆フレーバーティーやカフェ飲み放題,写真では立派そうに見えたが、小さくて物足りないかんじがする。,"ぎやかな席で落ち着けなかった。通されたテーブルは３,４人では狭くてゆっくりできない。",写真を予約をしたが、量は物足りず、席はゆっくりできないので、良かったとは言われなかった。
寿司ダイニング かどはち 銀座店,ゲストユーザーさん,30代後半（女）,2名,2024/9/19,友人・知人との食事,1.8,1,3,2,1,2,【和のアフタヌーンティー】抹茶の甘味や寿司を楽しむ+ノンアルコール飲み放題(5組限定),ドリンクが出てくるのが、とても遅かったです。ドリンクの味も薄く、スイーツも写真では抹茶がたくさんで抹茶のスイーツを楽しみに予約しましたが、半分も抹茶がありませんでした。味も普通でした。お寿司のシャリも素人が作ったの？と思うほどゆるく握られてるとは言えないレベルでした。,雰囲気はよかったですが、特におすすめと言うポイントはありませんでした。,同じような感想で、抹茶を楽しみにしていましたが、抹茶のスイーツが半分もなく、とても残念でした。もうここで食べることはないと思います。
HAND BAKES（ハンド ベイクス）,ゲストユーザーさん,20代前半（女）,2名,2024/8/18,いつものデート,1.8,2,1,2,3,1,【販売終了】【カジュアル★アフタヌーンティー】8種のスイーツ＆セイボリー+カフェフリー,スイーツやセイボリーは見た目は豪華でとても良く、席に届いた瞬間テンションの上がる内容でした。が、食べてみると少し安っぽいお味で、ケーキの表面が乾燥していたりフルーツがかなり酸っぱかったりと残念でした。ドリンクも種類が豊富でしたが紅茶は少しぬるめだったのと、店員さんからの紅茶の説明が一切無く、残念でした。,お盆ということもありましたがとても混んでいて、店員さんがかなり忙しそうで余裕がなく、全体的に雑で冷たい印象をうけました。予約をして行ったのに　入店時にどのテーブルに案内するか店員さん同士で揉めている？ような感じもありかなりゴタゴタしていました。紅茶のおかわりを頼もうとした時は、店員さん同士で喋っていてこちらに気づいてくれないこともありました。また、他のお客様との距離が近すぎて、会話は丸聞こえ、隣のお客様のスイーツが運ばれてくるときにこちらが少し避けないといけない、などがあり、もう少しテーブルの間隔が広ければな、と思いました。,同行者は初めてのアフタヌーンティーでしたが、「この値段でこの雰囲気やサービスならもう次はいいかな」となってしまっていました。このお店を選んだ私にも責任はありますが、もっと素敵な時間を過ごせると思っていたので残念です。このまま同行者のアフタヌーンティーのイメージが悪いままだと嫌なので、こんどは他のお店を予約して連れて行こうと思います。
絵本の国のアリス,どらままさん,40代前半（女）,2名,2024/6/3,女子会,1.8,2,2,2,1,2,【絵本の国のキャラクターアフタヌーンティーセット】+コーヒー・紅茶・ハーブティーから選べる1杯,アリスの世界観が伝わる面白い内容でした。特に、チェシャネコのケーキやeatmeクッキーが面白かった。,アリスの世界にいるようで面白かった。今回個室を利用したこともあり、ゆっくり楽しむことができたと思います。,アレルギー対応について、事前に相談にのっていただけたのはありがたかったのですか、当日全く配慮されてないものが配膳されて驚いていた。
Solomons（ソロモンズ）,memeさん,30代前半（女）,2名,2024/10/19,女子会,1.8,1,4,1,1,2,【販売終了】Spooky Halloween Afternoon+ALTHAUSの紅茶6種,今後来る方のために正直に記載します。星1つも付けたくありません。なぜ口コミ評価が高いのかもわかりません。サラダバーを追加料金で頼んだのに、声かけもなく30分程で片付けられてしまいひとくちも食べられませんでした。お料理もドリンクも見た目はいいですが味は残念でした。周りのテーブルでも食は進んでいない様子でした。,外国人のスタッフさんが多く、皆さん愛想は良いのですがミスが多かったです。日本人のスタッフさんは無愛想です。お店自体は雰囲気があって素敵でした。,楽しみにしていただけにとても残念そうでした。連れてきた私も申し訳なくて悲しかったです。
